Date,Daily Charge (GBP)
03/12/2025,-12.45
03/12/2025,-3.50
04/12/2025,-3.50
07/12/2025,-3.50
08/12/2025,-3.50
09/12/2025,-3.50
10/12/2025,-1.75
11/12/2025,-5.25
12/12/2025,-1.75
13/12/2025,-1.75
14/12/2025,-3.50
16/12/2025,-5.15
17/12/2025,-7.00
18/12/2025,-3.50
20/12/2025,-11.50
21/12/2025,-3.40
23/12/2025,-14.55
23/12/2025,-3.40
25/12/2025,-1.75
27/12/2025,-3.80
